"Date","Price","Open","High","Low","Change %"
"Apr 29, 2019","1,279.80","1,286.55","1,287.00","1,277.97","-0.50%"
"Apr 30, 2019","1,283.60","1,279.98","1,286.58","1,279.69","0.30%"
"May 01, 2019","1,276.60","1,283.59","1,287.38","1,273.16","-0.54%"
"May 02, 2019","1,270.54","1,276.94","1,278.18","1,266.18","-0.48%"
"May 03, 2019","1,279.19","1,270.74","1,282.84","1,268.90","0.68%"
"May 06, 2019","1,280.32","1,281.19","1,285.90","1,276.85","0.09%"
"May 07, 2019","1,285.15","1,281.10","1,286.37","1,278.04","0.38%"
"May 08, 2019","1,280.93","1,284.15","1,291.73","1,279.37","-0.33%"
"May 09, 2019","1,284.14","1,280.74","1,288.57","1,279.43","0.25%"
"May 10, 2019","1,286.00","1,284.34","1,289.60","1,283.10","0.14%"
"May 13, 2019","1,299.91","1,286.71","1,301.50","1,281.77","1.08%"
"May 14, 2019","1,297.03","1,300.24","1,303.47","1,293.52","-0.22%"
"May 15, 2019","1,296.67","1,297.17","1,301.18","1,292.85","-0.03%"
"May 16, 2019","1,286.65","1,296.90","1,299.06","1,284.06","-0.77%"
"May 17, 2019","1,277.55","1,286.50","1,289.24","1,274.91","-0.71%"
"May 20, 2019","1,277.74","1,277.80","1,279.32","1,273.60","0.02%"
"May 21, 2019","1,274.97","1,278.10","1,278.16","1,269.34","-0.22%"
"May 22, 2019","1,273.61","1,274.74","1,277.59","1,272.28","-0.11%"
"May 23, 2019","1,283.45","1,273.80","1,287.62","1,272.61","0.77%"
"May 24, 2019","1,284.90","1,283.55","1,285.59","1,280.59","0.11%"
"May 27, 2019","1,285.20","1,285.80","1,287.69","1,283.68","0.02%"
"May 28, 2019","1,279.49","1,285.55","1,286.75","1,276.01","-0.44%"
"May 29, 2019","1,279.60","1,279.56","1,285.79","1,278.88","0.01%"
"May 30, 2019","1,288.85","1,279.74","1,289.24","1,274.82","0.72%"
"May 31, 2019","1,305.65","1,288.35","1,307.11","1,288.00","1.30%"
"Jun 03, 2019","1,325.17","1,307.40","1,328.34","1,306.62","1.50%"
"Jun 04, 2019","1,325.28","1,325.05","1,329.41","1,319.90","0.01%"
"Jun 05, 2019","1,330.18","1,325.50","1,344.24","1,324.53","0.37%"
"Jun 06, 2019","1,335.55","1,331.99","1,340.09","1,327.26","0.40%"
"Jun 07, 2019","1,340.70","1,335.45","1,348.45","1,330.08","0.39%"
"Jun 10, 2019","1,328.13","1,335.94","1,337.77","1,324.90","-0.94%"
"Jun 11, 2019","1,326.91","1,328.40","1,330.22","1,319.74","-0.09%"
"Jun 12, 2019","1,333.55","1,327.05","1,338.58","1,326.04","0.50%"
"Jun 13, 2019","1,342.35","1,334.00","1,343.41","1,332.22","0.66%"
"Jun 14, 2019","1,341.58","1,341.70","1,358.40","1,337.88","-0.06%"
"Jun 17, 2019","1,339.54","1,342.05","1,343.53","1,332.83","-0.15%"
"Jun 18, 2019","1,346.48","1,340.30","1,354.68","1,338.54","0.52%"
"Jun 19, 2019","1,360.27","1,346.55","1,362.50","1,341.19","1.02%"
"Jun 20, 2019","1,388.18","1,360.34","1,393.30","1,357.66","2.05%"
"Jun 21, 2019","1,399.05","1,388.22","1,411.08","1,382.44","0.78%"
"Jun 24, 2019","1,419.55","1,401.35","1,421.20","1,400.33","1.47%"
"Jun 25, 2019","1,423.25","1,419.17","1,438.99","1,412.30","0.26%"
"Jun 26, 2019","1,408.75","1,423.90","1,424.03","1,402.37","-1.02%"
"Jun 27, 2019","1,409.68","1,409.55","1,411.94","1,400.23","0.07%"
"Jun 28, 2019","1,409.50","1,409.56","1,424.67","1,406.64","-0.01%"
"Jul 01, 2019","1,384.31","1,392.83","1,397.69","1,381.84","-1.79%"
"Jul 02, 2019","1,418.44","1,383.55","1,419.80","1,383.55","2.47%"
"Jul 03, 2019","1,418.94","1,419.95","1,436.29","1,412.52","0.03%"
"Jul 04, 2019","1,415.65","1,419.59","1,422.02","1,410.43","-0.23%"
"Jul 05, 2019","1,399.95","1,415.80","1,424.24","1,386.97","-1.11%"
"Jul 08, 2019","1,395.50","1,400.05","1,408.03","1,391.79","-0.32%"
"Jul 09, 2019","1,397.90","1,395.60","1,400.13","1,386.35","0.17%"
"Jul 10, 2019","1,419.00","1,397.80","1,419.21","1,389.88","1.51%"
"Jul 11, 2019","1,404.00","1,419.20","1,426.21","1,401.58","-1.06%"
"Jul 12, 2019","1,415.74","1,403.90","1,417.09","1,403.12","0.84%"
"Jul 15, 2019","1,414.08","1,415.75","1,419.75","1,407.69","-0.12%"
"Jul 16, 2019","1,406.33","1,415.05","1,418.34","1,401.23","-0.55%"
"Jul 17, 2019","1,426.80","1,406.59","1,427.00","1,400.18","1.46%"
"Jul 18, 2019","1,446.30","1,426.80","1,448.35","1,414.68","1.37%"
"Jul 19, 2019","1,425.30","1,446.40","1,452.96","1,420.40","-1.45%"
"Jul 22, 2019","1,425.12","1,425.15","1,429.77","1,422.34","-0.01%"
"Jul 23, 2019","1,417.39","1,425.15","1,429.25","1,414.29","-0.54%"
"Jul 24, 2019","1,425.90","1,417.55","1,429.55","1,416.43","0.60%"
"Jul 25, 2019","1,414.53","1,426.30","1,433.84","1,411.08","-0.80%"
"Jul 26, 2019","1,418.69","1,414.40","1,424.83","1,413.72","0.29%"
"Jul 29, 2019","1,426.94","1,419.49","1,428.46","1,416.98","0.58%"
"Jul 30, 2019","1,430.85","1,426.84","1,433.12","1,422.12","0.27%"
"Jul 31, 2019","1,413.80","1,431.05","1,433.07","1,411.42","-1.19%"
"Aug 01, 2019","1,445.31","1,411.34","1,445.98","1,400.65","2.23%"
